Age,Job_Title,Marital_Status,Education,Balance,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Sub_Num,y
44,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
45,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
29,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,admin.,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,entrepreneur,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,retired,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
44,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
81,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
55,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
42,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
45,blue-collar,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,unknown,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,services,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
58,retired,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
55,retired,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
48,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
60,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
46,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
56,self-employed,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,retired,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,retired,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
60,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,housemaid,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,housemaid,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
44,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,housemaid,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
48,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
51,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
39,admin.,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
56,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
45,self-employed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
55,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
49,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,technician,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
44,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,entrepreneur,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
48,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
49,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
51,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,unemployed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
54,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
55,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,housemaid,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
53,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,entrepreneur,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,management,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
51,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,self-employed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
49,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,blue-collar,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,services,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,technician,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,admin.,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,student,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
48,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
57,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
54,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
55,retired,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,unemployed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
54,technician,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
61,retired,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,management,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
49,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,entrepreneur,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
60,retired,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
56,management,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
43,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
60,management,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
32,unemployed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,housemaid,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,technician,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,unemployed,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
66,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
32,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
72,retired,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
64,management,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
52,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,unemployed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
61,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
77,retired,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
41,housemaid,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
61,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
24,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
56,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
34,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
38,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
26,unemployed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
44,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
27,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
30,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
28,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,blue-collar,married,unknown,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
55,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
33,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,services,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,self-employed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,management,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
39,services,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,self-employed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
34,entrepreneur,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
39,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
36,self-employed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
40,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
59,self-employed,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,entrepreneur,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,unemployed,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
23,blue-collar,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
31,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
30,blue-collar,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
51,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
35,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
47,technician,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
37,entrepreneur,married,primary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
46,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
34,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
43,management,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
49,admin.,married,secondary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,1,yes
32,technician,married,tertiary,0,,1,0,3,1,1,311,1.6666666666666667,Lost,0,no
